order_id,customer_id,customer_name,email,order_date,total_price,currency,status,financial_status,fulfillment_status,payment_method,discount_code,discount_amount,shipping_address,shipping_country,tracking_number,tracking_company,refunds,line_items
INT-411670,CUST-9199,Gregory Cortez,stephanie06@mckinney-allen.biz,2025-02-23,365.15,EUR,canceled,voided,partial,credit_card,WELCOME10,37.36,"USS Mccoy, FPO AE 55539",GB,,,null,2 products
INT-501356,CUST-1711,Morgan Davis,kenneth10@gay.com,2025-01-17,969.37,GBP,canceled,partially_refunded,unfulfilled,paypal,,,"278 Jeffrey Summit, Stevensmouth, GA 69548",DE,,,"{""refund_id"": ""RF-82852"", ""refund_amount"": 856.58, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-03"", ""refund_method"": ""original_payment""}",1 products
INT-218630,CUST-7082,Justin Oneill,wadefelicia@hotmail.com,2024-12-16,650.21,GBP,shipped,voided,fulfilled,paypal,,0.0,"76547 Breanna Harbors Apt. 511, Victoriaville, KY 42170",DE,TRK-852810,USPS,null,1 products
INT-614575,CUST-4168,Alan Bell,heathernash@green.com,2024-12-13,33.01,GBP,refunded,partially_refunded,unfulfilled,gift_card,,0.0,"67539 Daniel Unions Apt. 658, West Colleen, WA 74191",DE,,,"{""refund_id"": ""RF-17193"", ""refund_amount"": 16.04, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-02"", ""refund_method"": ""manual_adjustment""}",4 products
INT-720596,CUST-4061,Ryan Robertson,youngmelissa@hotmail.com,2024-12-19,50.99,USD,canceled,refunded,partial,gift_card,,0.0,"592 Johnson Passage Apt. 257, North Lukefurt, WY 42797",CA,,,"{""refund_id"": ""RF-10266"", ""refund_amount"": 46.52, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-01"", ""refund_method"": ""original_payment""}",5 products
INT-989243,CUST-1140,David Gonzalez,allensamantha@flowers.com,2025-01-18,366.54,USD,refunded,paid,partial,paypal,,0.0,"Unit 8463 Box 6069, DPO AA 32200",US,,,null,2 products
INT-131141,CUST-5076,Sean Jacobson,thomas23@beltran.com,2025-03-02,541.42,USD,pending,paid,fulfilled,credit_card,VIPCUSTOMER,28.89,"8060 Parsons Summit Apt. 109, Donaldsonstad, HI 69334",GB,TRK-177821,USPS,null,5 products
INT-203080,CUST-3354,Dennis Singh,jane00@gmail.com,2025-02-09,643.89,USD,paid,refunded,unfulfilled,bank_transfer,,0.0,"370 Walter Trace Apt. 407, Scottfort, WA 67008",US,,,"{""refund_id"": ""RF-78910"", ""refund_amount"": 406.42, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-20"", ""refund_method"": ""original_payment""}",4 products
INT-167291,CUST-8566,Johnathan Castro,,2024-12-17,230.2,EUR,paid,voided,partial,gift_card,VIPCUSTOMER,3.28,"855 Keith Loaf Suite 113, West Matthewhaven, NV 83468",GB,,,null,3 products
INT-892109,CUST-8357,Cindy Taylor,jamiewoodward@hotmail.com,2025-02-06,569.63,GBP,refunded,paid,fulfilled,gift_card,WELCOME10,43.08,"061 Brown Pass Suite 814, Daviston, MO 94429",CA,TRK-996617,DHL,null,4 products
INT-374980,CUST-3102,Kenneth Foster,benjamin94@stein-salazar.com,2025-01-16,933.9,EUR,pending,refunded,unfulfilled,credit_card,WELCOME10,25.52,"26827 Mark Street, Doriston, NV 84503",CA,,,"{""refund_id"": ""RF-12241"", ""refund_amount"": 904.63, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-18"", ""refund_method"": ""store_credit""}",4 products
INT-837255,CUST-3651,Gary Guzman,wgeorge@yahoo.com,2025-02-26,849.53,GBP,canceled,partially_refunded,fulfilled,bank_transfer,,,"Unit 3951 Box 5227, DPO AE 56361",US,TRK-963353,UPS,"{""refund_id"": ""RF-20070"", ""refund_amount"": 455.62, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-02"", ""refund_method"": ""manual_adjustment""}",3 products
INT-902183,CUST-4697,Sheryl Gamble,emartin@gmail.com,2025-01-05,753.21,EUR,paid,refunded,partial,credit_card,SUMMER20,8.44,"49846 Lee Coves, South Jessica, HI 08758",US,,,"{""refund_id"": ""RF-27290"", ""refund_amount"": 483.37, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-01-27"", ""refund_method"": ""original_payment""}",5 products
INT-383350,CUST-5964,Stephanie Mason,megan26@yahoo.com,2024-12-27,972.26,EUR,pending,voided,unfulfilled,credit_card,SUMMER20,14.53,"PSC 3123, Box 4838, APO AA 31765",FR,,,null,2 products
INT-732600,CUST-5503,Brent Mcclure,terri83@walker.biz,2025-01-18,131.57,GBP,canceled,voided,fulfilled,bank_transfer,VIPCUSTOMER,29.4,"583 Clark Inlet Suite 032, Gregorybury, MD 93756",CA,TRK-617980,UPS,null,4 products
INT-434214,CUST-4387,George Wyatt,lewiskenneth@norris-chambers.com,2025-01-11,126.62,EUR,shipped,paid,fulfilled,bank_transfer,,0.0,"4408 Daisy Forges Suite 793, Port Crystaltown, OH 49720",US,TRK-242800,DHL,null,5 products
INT-854531,CUST-3204,Kevin Lewis,andreamahoney@haynes.net,2024-12-13,33.4,EUR,canceled,partially_refunded,unfulfilled,gift_card,SUMMER20,45.82,"003 Frank Avenue Apt. 385, Aguirreport, ME 43816",US,,,"{""refund_id"": ""RF-63664"", ""refund_amount"": 19.33, ""refund_reason"": ""Shipping delay"", ""refund_date"": ""2025-02-20"", ""refund_method"": ""store_credit""}",3 products
INT-546725,CUST-1764,Thomas Herrera,rebecca26@yahoo.com,2025-01-18,877.91,USD,pending,paid,fulfilled,paypal,,0.0,"4183 Robinson Passage Suite 955, Port Jessicaville, IL 02697",DE,TRK-866999,USPS,null,1 products
INT-174834,CUST-2820,Patricia Jones,biancaserrano@travis.com,2025-01-27,305.99,GBP,canceled,refunded,fulfilled,credit_card,,0.0,"44192 Jon Crest Apt. 797, Leeborough, AZ 03277",FR,TRK-371137,USPS,"{""refund_id"": ""RF-27597"", ""refund_amount"": 65.23, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-28"", ""refund_method"": ""manual_adjustment""}",3 products
INT-533112,CUST-4105,Matthew Novak,thudson@mitchell.com,2024-12-16,206.92,EUR,pending,partially_refunded,unfulfilled,bank_transfer,,0.0,"48972 John Port, Brianshire, HI 06529",DE,,,"{""refund_id"": ""RF-42025"", ""refund_amount"": 53.9, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-26"", ""refund_method"": ""manual_adjustment""}",3 products
INT-968505,CUST-3207,Courtney Bryan,,2025-02-08,572.81,EUR,shipped,voided,fulfilled,paypal,VIPCUSTOMER,8.53,"3898 Carr Tunnel Apt. 006, Harrisside, VT 64131",DE,TRK-229793,UPS,null,1 products
INT-841934,CUST-6644,Eric Flores,cyoder@vargas-khan.com,2024-12-14,724.99,GBP,refunded,partially_refunded,unfulfilled,gift_card,SUMMER20,43.52,"2585 Carla Isle, Christinemouth, WA 58052",DE,,,"{""refund_id"": ""RF-61443"", ""refund_amount"": 387.11, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-09"", ""refund_method"": ""store_credit""}",4 products
INT-691468,CUST-9865,Billy Jones,jacksondouglas@williams.org,2025-02-11,158.26,GBP,pending,refunded,partial,bank_transfer,,0.0,"6233 Seth Mountains, Johnview, DE 91948",US,,,"{""refund_id"": ""RF-56277"", ""refund_amount"": 25.94, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-07"", ""refund_method"": ""manual_adjustment""}",2 products
INT-396105,CUST-7689,Tracy Ballard,lwright@gmail.com,2025-02-12,892.75,EUR,pending,partially_refunded,unfulfilled,bank_transfer,,0.0,"USNS Tran, FPO AE 61576",US,,,"{""refund_id"": ""RF-13840"", ""refund_amount"": 98.75, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-09"", ""refund_method"": ""store_credit""}",4 products
INT-502338,CUST-8964,Amanda Miller,njuarez@wood.com,2024-12-13,445.68,GBP,canceled,voided,fulfilled,credit_card,VIPCUSTOMER,38.52,"50205 Karen Overpass, East Brandonview, KY 83183",CA,TRK-292400,DHL,null,1 products
INT-896734,CUST-2545,Sheena Richards,eanderson@hotmail.com,2025-01-04,104.16,GBP,paid,partially_refunded,fulfilled,paypal,,0.0,"77409 Simon Corner Suite 234, Kevinside, MO 43611",US,TRK-159385,FedEx,"{""refund_id"": ""RF-39570"", ""refund_amount"": 41.27, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-04"", ""refund_method"": ""store_credit""}",4 products
INT-896787,CUST-1051,Eric Walsh,sheilamarshall@gregory.com,2024-12-14,495.05,GBP,refunded,refunded,fulfilled,gift_card,,,"95124 Miller Estates Apt. 778, East Sethview, SD 21080",US,TRK-171488,FedEx,"{""refund_id"": ""RF-39878"", ""refund_amount"": 366.62, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-24"", ""refund_method"": ""manual_adjustment""}",3 products
INT-953959,CUST-1853,Jonathan Church,mlarson@smith-martinez.com,2025-01-17,815.71,GBP,pending,paid,fulfilled,gift_card,VIPCUSTOMER,30.43,"11689 Brian Rapids Apt. 958, Port Julie, WY 36722",FR,TRK-608390,USPS,null,1 products
INT-993867,CUST-8813,Gregory Wilson,porterrobin@jackson.info,2024-12-24,753.02,USD,refunded,partially_refunded,unfulfilled,credit_card,,0.0,"812 Roberts River, East Randall, FL 53949",FR,,,"{""refund_id"": ""RF-18520"", ""refund_amount"": 647.4, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-27"", ""refund_method"": ""manual_adjustment""}",3 products
INT-401968,CUST-8430,Alexandra Glenn,thomasdeborah@stanley.com,2025-03-04,802.82,GBP,pending,refunded,fulfilled,bank_transfer,,0.0,"893 Wood Valleys Apt. 263, Banksstad, AR 71247",US,TRK-906511,USPS,"{""refund_id"": ""RF-91388"", ""refund_amount"": 662.69, ""refund_reason"": ""Shipping delay"", ""refund_date"": ""2025-03-10"", ""refund_method"": ""original_payment""}",4 products
INT-657941,CUST-4664,David Bruce,,2025-03-09,299.76,EUR,canceled,partially_refunded,fulfilled,credit_card,,,"68168 Hall Canyon, Aguilarland, WY 74082",US,TRK-600797,UPS,"{""refund_id"": ""RF-42709"", ""refund_amount"": 79.72, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-09"", ""refund_method"": ""store_credit""}",2 products
INT-891473,CUST-1395,Jennifer Brown,ujohnson@gonzalez-wong.net,2025-01-23,646.45,GBP,refunded,refunded,fulfilled,bank_transfer,,0.0,"6194 Hudson Extensions Suite 512, Clintonburgh, GA 63205",DE,TRK-338017,USPS,"{""refund_id"": ""RF-22187"", ""refund_amount"": 471.63, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-01"", ""refund_method"": ""original_payment""}",4 products
INT-635485,CUST-9685,Mary Mendoza,thompsonapril@yahoo.com,2025-02-16,427.91,GBP,pending,refunded,fulfilled,gift_card,,0.0,"38958 Kevin Turnpike Apt. 364, South Matthewfurt, ND 64028",CA,TRK-902084,FedEx,"{""refund_id"": ""RF-28586"", ""refund_amount"": 123.48, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-07"", ""refund_method"": ""manual_adjustment""}",2 products
INT-459275,CUST-8965,Matthew Smith,whitejennifer@horton.com,2025-01-10,571.35,GBP,shipped,voided,unfulfilled,paypal,WELCOME10,49.41,"7113 Solis Mews, Angelamouth, IA 33568",GB,,,null,3 products
INT-926264,CUST-8413,Vincent Silva,victorhuff@gmail.com,2025-01-08,367.44,USD,shipped,refunded,unfulfilled,credit_card,,0.0,"601 Cook Mission, South Daniel, AL 41552",GB,,,"{""refund_id"": ""RF-90747"", ""refund_amount"": 164.29, ""refund_reason"": ""Shipping delay"", ""refund_date"": ""2025-02-09"", ""refund_method"": ""manual_adjustment""}",5 products
INT-867457,CUST-8842,Rachel Jordan,jclark@evans.info,2024-12-12,376.6,USD,paid,refunded,fulfilled,paypal,,0.0,"503 Marshall Common, Port Jenniferland, OH 89201",US,TRK-607145,,"{""refund_id"": ""RF-58792"", ""refund_amount"": 324.41, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-04"", ""refund_method"": ""original_payment""}",4 products
INT-534773,CUST-8014,Larry Johnson,seth42@allen.com,2025-02-09,542.16,GBP,shipped,voided,unfulfilled,gift_card,VIPCUSTOMER,36.97,"577 Samantha Place Suite 333, East Melissa, MN 01174",CA,,,null,2 products
INT-400187,CUST-6765,Howard Jacobson,whitesuzanne@mcguire.info,2025-01-10,478.09,GBP,refunded,voided,unfulfilled,bank_transfer,SUMMER20,22.5,"3020 Mary Courts Apt. 831, Lake Warren, MI 13174",FR,,,null,2 products
INT-434597,CUST-3673,Steven Hill,vrosales@yahoo.com,2024-12-20,987.89,EUR,pending,partially_refunded,unfulfilled,bank_transfer,WELCOME10,19.86,"7981 Megan Crossroad Apt. 875, Lake Michaelfort, OR 34858",US,,,"{""refund_id"": ""RF-13237"", ""refund_amount"": 460.67, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-13"", ""refund_method"": ""manual_adjustment""}",3 products
INT-286705,CUST-2715,Jeremy Gregory,kennethwatkins@robinson-tran.com,2024-12-22,35.59,EUR,paid,paid,fulfilled,credit_card,VIPCUSTOMER,27.86,"632 James Springs, New Mirandaview, OK 31617",DE,TRK-783953,FedEx,null,2 products
INT-435970,CUST-8636,Adam Kline,april65@hotmail.com,2024-12-12,517.33,EUR,pending,voided,partial,credit_card,WELCOME10,28.56,"USCGC Mills, FPO AP 31694",FR,,,null,4 products
INT-762098,CUST-1015,Gerald Gutierrez,emily26@thompson.net,2025-02-27,959.95,EUR,canceled,partially_refunded,unfulfilled,gift_card,,0.0,"32182 Jeffrey Park Suite 535, Port Kennethchester, KY 14416",DE,,,"{""refund_id"": ""RF-66391"", ""refund_amount"": 886.04, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-08"", ""refund_method"": ""original_payment""}",5 products
INT-960466,CUST-1520,Thomas Jackson,howardkristin@hotmail.com,2025-02-18,833.33,GBP,canceled,refunded,unfulfilled,paypal,WELCOME10,16.46,"4655 Acosta Ferry, Scottshire, NE 15010",GB,,,"{""refund_id"": ""RF-54366"", ""refund_amount"": 107.4, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-25"", ""refund_method"": ""store_credit""}",4 products
INT-341497,CUST-2811,Dr. Joseph Cuevas,elliottalex@buchanan-wood.net,2024-12-22,698.18,EUR,paid,partially_refunded,partial,gift_card,,0.0,"7715 Katelyn Ville, Davidsonland, IL 47009",US,,,"{""refund_id"": ""RF-52875"", ""refund_amount"": 602.1, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-07"", ""refund_method"": ""original_payment""}",5 products
INT-739491,CUST-4033,Jamie Mills,phillipssandra@yahoo.com,2025-01-22,48.48,USD,pending,refunded,fulfilled,paypal,,0.0,"03689 Pugh Branch Apt. 171, Moranville, MT 79299",GB,TRK-141342,DHL,"{""refund_id"": ""RF-84399"", ""refund_amount"": 12.71, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-15"", ""refund_method"": ""manual_adjustment""}",1 products
INT-859305,CUST-5675,Daniel Curtis,mjones@yahoo.com,2025-02-02,861.78,GBP,shipped,partially_refunded,partial,credit_card,,0.0,"42258 Andrews Fort, New Elizabeth, WA 00640",FR,,,"{""refund_id"": ""RF-91461"", ""refund_amount"": 278.55, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-02"", ""refund_method"": ""original_payment""}",5 products
INT-397808,CUST-1191,Shawn Miller,pleonard@gonzalez.net,2025-01-16,951.93,GBP,paid,paid,partial,paypal,,0.0,"8850 Katie Prairie Apt. 051, Crawfordmouth, MS 05219",US,,,null,3 products
INT-741194,CUST-4057,Rachael Bates,schaeferglenn@burke-hernandez.info,2025-02-22,672.42,USD,canceled,voided,unfulfilled,credit_card,VIPCUSTOMER,25.02,"224 Frank Wells Suite 229, Bradleyside, NM 01477",DE,,,null,5 products
INT-256220,CUST-1526,Daniel Thomas,lisa43@hotmail.com,2025-03-05,211.32,GBP,paid,voided,unfulfilled,paypal,,0.0,"USCGC Reynolds, FPO AE 61854",CA,,,null,2 products
INT-895564,CUST-5673,Michael Huang,greenewesley@brown.net,2025-03-06,374.5,USD,canceled,voided,fulfilled,paypal,,0.0,"8330 Robert Plain Suite 839, East Elizabethfort, MS 28397",FR,,,null,5 products
INT-536393,CUST-9562,Stephanie Smith,xrowe@davis-brooks.org,2025-01-09,175.29,EUR,refunded,voided,partial,credit_card,,,"6151 Jeremy Spring, Mcguirestad, NH 12010",DE,,,null,1 products
INT-284907,CUST-2617,Allison Fry,aconner@yahoo.com,2025-02-11,833.0,EUR,canceled,partially_refunded,unfulfilled,credit_card,,,"2517 Schmidt Dam, East Saraside, VA 96597",US,,,"{""refund_id"": ""RF-41520"", ""refund_amount"": 542.67, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-02-16"", ""refund_method"": ""original_payment""}",1 products
INT-382311,CUST-4600,Wanda Miller,evan69@stewart.com,2025-02-13,345.5,EUR,pending,refunded,unfulfilled,bank_transfer,VIPCUSTOMER,4.86,"98998 Andrea Stravenue, Emmaview, CT 42635",DE,,,"{""refund_id"": ""RF-14906"", ""refund_amount"": 125.4, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-11"", ""refund_method"": ""manual_adjustment""}",1 products
INT-150862,CUST-4810,Eric Vega,sarah51@gmail.com,2025-01-28,758.89,GBP,refunded,refunded,fulfilled,gift_card,,,"PSC 1823, Box 1224, APO AP 55415",GB,TRK-792772,DHL,"{""refund_id"": ""RF-51907"", ""refund_amount"": 728.59, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-17"", ""refund_method"": ""store_credit""}",2 products
INT-120499,CUST-6031,Melissa Haynes MD,danielparsons@maxwell.com,2025-02-11,842.54,GBP,canceled,paid,fulfilled,bank_transfer,,0.0,"1890 Catherine Mews, Graytown, NH 18920",US,TRK-910631,,null,5 products
INT-913491,CUST-9627,Gloria Lewis,kathy59@wheeler.com,2025-01-17,493.51,USD,paid,paid,unfulfilled,gift_card,,0.0,"455 Chambers Dam, Jenniferstad, NY 99464",CA,,,null,3 products
INT-838980,CUST-4577,James Young,burnsdeborah@hotmail.com,2025-03-07,781.09,USD,refunded,refunded,partial,gift_card,,0.0,"PSC 9318, Box 4107, APO AP 88757",GB,,,"{""refund_id"": ""RF-23178"", ""refund_amount"": 485.88, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-07"", ""refund_method"": ""manual_adjustment""}",1 products
INT-922778,CUST-2611,Lisa Nichols,smithchristie@hotmail.com,2025-01-14,381.26,EUR,paid,refunded,fulfilled,paypal,,0.0,"4217 Russell Lodge, Harperfurt, FL 32344",GB,TRK-247194,USPS,"{""refund_id"": ""RF-66870"", ""refund_amount"": 196.68, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-01-19"", ""refund_method"": ""original_payment""}",5 products
INT-705090,CUST-4928,Jacob Anderson,valenciaemily@cox-wagner.com,2025-02-24,430.15,EUR,canceled,voided,unfulfilled,credit_card,WELCOME10,22.96,"433 Boyle Springs, New Brent, MD 66212",US,,,null,2 products
INT-974190,CUST-6645,Jean Malone,christinataylor@boyd.com,2025-02-13,725.03,EUR,paid,paid,fulfilled,credit_card,,0.0,"602 Daniel Shoals, Russochester, LA 54240",GB,TRK-603583,FedEx,null,3 products
INT-702966,CUST-7720,Cindy Moreno,reyesrobert@morrison-holmes.com,2025-01-09,876.69,GBP,refunded,paid,unfulfilled,credit_card,WELCOME10,9.32,"PSC 9811, Box 2808, APO AE 46737",GB,,,null,1 products
INT-554883,CUST-2200,Kayla Hartman,gloria41@phillips.net,2025-01-02,908.37,USD,refunded,refunded,partial,paypal,,,"79564 Beverly Trace Suite 669, Port Linda, WI 77284",GB,,,"{""refund_id"": ""RF-32260"", ""refund_amount"": 176.09, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-12"", ""refund_method"": ""manual_adjustment""}",2 products
INT-800571,CUST-1467,Willie Malone DVM,dsanders@lawson.com,2025-03-04,599.53,EUR,pending,voided,unfulfilled,gift_card,WELCOME10,0.97,"9237 Jennifer Mountain, North Richardfurt, KS 33725",US,,,null,3 products
INT-363995,CUST-7113,Jacqueline Knox,,2025-01-16,754.12,GBP,shipped,paid,fulfilled,credit_card,VIPCUSTOMER,33.56,"375 Phillips Tunnel Suite 477, Port James, TX 97808",DE,TRK-435194,FedEx,null,1 products
INT-633783,CUST-6013,Crystal Mueller,jesse09@conner.org,2025-03-08,890.07,EUR,paid,refunded,fulfilled,bank_transfer,WELCOME10,12.5,"7549 Dickson Key, Lake Suzanne, UT 32487",GB,TRK-950192,UPS,"{""refund_id"": ""RF-74975"", ""refund_amount"": 876.3, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-10"", ""refund_method"": ""manual_adjustment""}",4 products
INT-139365,CUST-4831,Jonathan Glover,jamie06@king.com,2025-01-20,195.02,EUR,canceled,refunded,fulfilled,credit_card,WELCOME10,23.99,"7469 Santiago Tunnel Apt. 670, Derekshire, AK 13117",FR,TRK-989348,DHL,"{""refund_id"": ""RF-10121"", ""refund_amount"": 179.83, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-05"", ""refund_method"": ""store_credit""}",4 products
INT-505914,CUST-3586,Christopher Martin,millsadrian@huff.biz,2025-02-10,128.13,EUR,shipped,refunded,unfulfilled,paypal,,,"9081 Holt Causeway Apt. 770, Mitchellchester, NH 69140",GB,,,"{""refund_id"": ""RF-61945"", ""refund_amount"": 57.93, ""refund_reason"": ""Shipping delay"", ""refund_date"": ""2025-03-07"", ""refund_method"": ""manual_adjustment""}",2 products
INT-202279,CUST-9493,Richard Horne,thomas15@fox.com,2025-02-19,643.27,USD,pending,refunded,fulfilled,bank_transfer,,,"997 Hill Street Apt. 553, South Veronicaburgh, NV 94037",US,,,"{""refund_id"": ""RF-14654"", ""refund_amount"": 150.45, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-02-24"", ""refund_method"": ""original_payment""}",1 products
INT-756670,CUST-2376,William Jones,gcontreras@yahoo.com,2024-12-15,171.1,GBP,shipped,voided,partial,bank_transfer,WELCOME10,4.9,"27787 Kristen Viaduct Suite 134, Michaelchester, NH 55418",CA,,,null,2 products
INT-493865,CUST-8399,Darren Bartlett,simmonsjennifer@hicks.com,2025-02-10,275.74,EUR,canceled,paid,unfulfilled,paypal,,0.0,"97687 Reeves Hollow, East Bonnie, MN 59610",US,,,null,5 products
INT-410550,CUST-9879,Justin Miller,,2025-02-13,842.45,EUR,canceled,refunded,partial,paypal,SUMMER20,7.33,"9473 Jennifer Stream Suite 081, New Traceymouth, SD 54995",FR,,,"{""refund_id"": ""RF-10934"", ""refund_amount"": 159.4, ""refund_reason"": ""Shipping delay"", ""refund_date"": ""2025-02-17"", ""refund_method"": ""manual_adjustment""}",2 products
